TransactionID,Amount,TransactionType,Location,MerchantCategory,PaymentMethod,TransactionHour,IsFraud
TXN10069,729.31,POS,Jaipur,Food,Debit Card,15,0
TXN10070,5183.69,ATM,Delhi,Electronics,Credit Card,21,0
TXN10071,4421.15,Online,Bengaluru,Food,UPI,8,0
TXN10072,508.48,POS,Kolkata,Healthcare,UPI,13,0
TXN10073,1046.22,POS,Lucknow,Clothing,Debit Card,7,0
TXN10074,11144.99,Online,Hyderabad,Electronics,Net Banking,10,0
TXN10075,1757.74,Online,Chennai,Entertainment,UPI,7,0
TXN10076,4882.04,Online,Jaipur,Grocery,Net Banking,22,0
TXN10077,2818.69,Online,Kolkata,Grocery,Debit Card,11,0
TXN10078,1674.78,POS,Pune,Healthcare,UPI,19,0
TXN10079,4471.17,POS,Pune,Entertainment,UPI,19,0
TXN10080,2989.63,POS,Hyderabad,Food,Credit Card,8,0
TXN10081,4997.32,Online,Hyderabad,Electronics,Net Banking,8,0
TXN10082,828.74,Online,Hyderabad,Healthcare,Debit Card,12,0
TXN10083,1954.55,POS,Chennai,Electronics,Debit Card,16,0
TXN10084,2026.66,POS,Chennai,Food,Net Banking,13,0
TXN10085,2047.74,POS,Lucknow,Entertainment,Net Banking,19,0
TXN10086,2254.2,POS,Jaipur,Food,Debit Card,15,0
TXN10087,7199.93,Online,Mumbai,Travel,Debit Card,21,0
TXN10088,1067.5,Online,Pune,Travel,UPI,16,0
TXN10089,955.73,ATM,Delhi,Food,Net Banking,16,0
TXN10090,2416.62,POS,Delhi,Clothing,UPI,17,0
TXN10091,1942.34,POS,Hyderabad,Healthcare,UPI,16,0
TXN10092,4598.85,Online,Varanasi,Travel,UPI,16,0
TXN10093,3208.66,Online,Pune,Fuel,Debit Card,13,0
TXN10094,1852.86,Online,Mumbai,Food,Net Banking,7,1
TXN10095,10147.1,Online,Mumbai,Fuel,Credit Card,12,0
TXN10096,3333.35,Online,Delhi,Fuel,UPI,19,0
TXN10097,4984.8,Online,Varanasi,Electronics,Credit Card,3,0
TXN10098,350.32,POS,Mumbai,Healthcare,Credit Card,18,0
TXN10099,726.63,POS,Pune,Entertainment,UPI,23,0
TXN10100,1624.61,POS,Jaipur,Travel,Net Banking,13,0
TXN10101,2963.23,POS,Kolkata,Entertainment,UPI,9,0
TXN10102,12966.52,Online,Varanasi,Clothing,UPI,1,1
TXN10103,1923.91,POS,Mumbai,Healthcare,Debit Card,20,0
TXN10104,5674.01,Online,Varanasi,Healthcare,UPI,8,0
TXN10105,5567.95,ATM,Varanasi,Grocery,Debit Card,4,0
TXN10106,1424.47,POS,Jaipur,Electronics,Debit Card,14,0
TXN10107,1828.63,POS,Pune,Clothing,Debit Card,12,0
TXN10108,1192.76,Online,Delhi,Fuel,UPI,22,0
TXN10109,3178.65,POS,Jaipur,Clothing,Net Banking,14,0
TXN10110,1522.78,POS,Mumbai,Entertainment,UPI,20,0
TXN10111,2497.21,POS,Hyderabad,Clothing,Debit Card,21,0
TXN10112,2843.74,POS,Jaipur,Electronics,Debit Card,9,0
TXN10113,2855.97,ATM,Hyderabad,Clothing,Credit Card,11,1
TXN10114,1091.2,Online,Bengaluru,Grocery,Debit Card,21,1
TXN10115,5007.75,Online,Delhi,Travel,Credit Card,15,0
TXN10116,9149.06,Online,Pune,Electronics,UPI,11,0
TXN10117,5994.67,Online,Kolkata,Clothing,Net Banking,15,1
TXN10118,455.68,POS,Varanasi,Food,Credit Card,18,0
TXN10119,4653.96,ATM,Hyderabad,Travel,Debit Card,16,0
TXN10120,5227.18,Online,Kolkata,Entertainment,UPI,21,1
TXN10121,7480.84,Online,Kolkata,Fuel,UPI,22,0
TXN10122,5032.35,ATM,Hyderabad,Healthcare,UPI,18,0
TXN10123,1222.39,POS,Kolkata,Electronics,Debit Card,17,0
TXN10124,231.94,POS,Varanasi,Food,Credit Card,0,1
TXN10125,4127.69,POS,Lucknow,Healthcare,Net Banking,19,0
TXN10126,1048.97,POS,Bengaluru,Food,Debit Card,14,0
TXN10127,6042.12,Online,Hyderabad,Clothing,UPI,20,0
TXN10128,5431.21,Online,Varanasi,Fuel,Debit Card,21,0
TXN10129,1475.26,POS,Delhi,Electronics,Credit Card,12,0
TXN10130,2950.03,Online,Hyderabad,Fuel,UPI,21,0
TXN10131,2696.92,POS,Varanasi,Fuel,Credit Card,17,0
TXN10132,1594.58,POS,Varanasi,Entertainment,UPI,13,0
TXN10133,2157.6,POS,Jaipur,Clothing,Credit Card,5,1
TXN10134,3055.26,POS,Lucknow,Healthcare,Net Banking,18,0
TXN10135,2625.7,ATM,Hyderabad,Entertainment,Credit Card,21,0
TXN10136,587.24,POS,Pune,Fuel,Debit Card,16,0
TXN10137,2629.25,Online,Varanasi,Grocery,Credit Card,12,0
TXN10138,6856.49,Online,Bengaluru,Food,UPI,13,0
TXN10139,383.07,POS,Jaipur,Grocery,UPI,18,0
TXN10140,8592.07,ATM,Varanasi,Healthcare,Credit Card,9,0
TXN10141,5327.5,ATM,Hyderabad,Clothing,Credit Card,9,1
TXN10142,804.69,POS,Mumbai,Entertainment,UPI,11,0
TXN10143,6371.64,Online,Varanasi,Entertainment,UPI,2,0
TXN10144,2081.82,POS,Chennai,Entertainment,UPI,17,0
TXN10145,1523.81,POS,Mumbai,Travel,UPI,13,0
TXN10146,1372.25,POS,Varanasi,Food,Credit Card,21,0
TXN10147,5196.38,Online,Kolkata,Travel,Debit Card,17,0
TXN10148,3518.83,Online,Varanasi,Electronics,Debit Card,18,0
TXN10149,910.07,POS,Delhi,Food,Net Banking,17,0
TXN10150,3297.35,POS,Kolkata,Grocery,Debit Card,13,0
TXN10151,1191.38,ATM,Hyderabad,Travel,Credit Card,21,0
TXN10152,1810.83,POS,Bengaluru,Healthcare,Net Banking,21,0
TXN10153,871.58,POS,Mumbai,Electronics,Debit Card,14,0
TXN10154,6005.61,Online,Pune,Food,UPI,19,0
TXN10155,4351.39,ATM,Jaipur,Entertainment,UPI,23,0
TXN10156,2119.98,POS,Bengaluru,Healthcare,Net Banking,11,0
TXN10157,1262.89,Online,Kolkata,Fuel,Debit Card,17,0
TXN10158,4887.78,Online,Jaipur,Electronics,Debit Card,16,0
TXN10159,4001.93,POS,Mumbai,Grocery,Net Banking,15,0
TXN10160,3883.0,Online,Pune,Entertainment,Debit Card,21,0
TXN10161,3424.71,POS,Chennai,Healthcare,Credit Card,8,1
TXN10162,6317.23,Online,Chennai,Food,UPI,15,0
TXN10163,3678.39,Online,Pune,Electronics,Debit Card,2,0
TXN10164,5001.12,Online,Jaipur,Clothing,Net Banking,11,0
TXN10165,1153.4,POS,Hyderabad,Fuel,UPI,17,0
TXN10166,6506.31,Online,Jaipur,Food,Debit Card,19,0
TXN10167,3665.44,POS,Varanasi,Food,Debit Card,20,0
TXN10168,792.93,POS,Jaipur,Entertainment,Debit Card,7,0
TXN10169,796.19,POS,Hyderabad,Food,Debit Card,9,0
TXN10170,12050.15,Online,Bengaluru,Entertainment,UPI,12,0
TXN10171,15182.19,Online,Mumbai,Food,Debit Card,12,0
TXN10172,2004.37,POS,Jaipur,Clothing,Credit Card,10,0
TXN10173,6634.93,Online,Mumbai,Healthcare,Net Banking,22,0
TXN10174,1117.05,POS,Kolkata,Healthcare,Credit Card,15,0
TXN10175,2426.07,Online,Chennai,Healthcare,Debit Card,17,0
TXN10176,2050.64,POS,Chennai,Grocery,Net Banking,19,0
TXN10177,8998.22,Online,Hyderabad,Clothing,Debit Card,15,0
TXN10178,2567.11,POS,Kolkata,Clothing,Net Banking,20,0
TXN10179,993.7,ATM,Chennai,Fuel,UPI,23,0
TXN10180,3418.49,POS,Hyderabad,Electronics,UPI,12,0
TXN10181,954.08,POS,Jaipur,Travel,UPI,17,0
TXN10182,2335.99,POS,Kolkata,Healthcare,Credit Card,11,0
TXN10183,4511.04,ATM,Varanasi,Travel,UPI,6,0
TXN10184,1970.38,Online,Varanasi,Electronics,UPI,2,0
TXN10185,1015.52,POS,Varanasi,Clothing,Credit Card,10,0
TXN10186,3038.73,Online,Bengaluru,Electronics,Credit Card,9,0
TXN10187,6120.1,Online,Varanasi,Food,UPI,18,0
TXN10188,6402.91,Online,Kolkata,Electronics,Credit Card,14,1
TXN10189,3147.1,Online,Delhi,Electronics,UPI,15,0
TXN10190,366.15,POS,Chennai,Entertainment,UPI,7,0
TXN10191,4483.27,POS,Varanasi,Food,Credit Card,1,0
TXN10192,1452.77,ATM,Kolkata,Entertainment,Debit Card,13,0
TXN10193,2491.59,ATM,Lucknow,Travel,Debit Card,10,0
TXN10194,3029.42,Online,Jaipur,Fuel,Credit Card,17,0
TXN10195,1780.49,POS,Bengaluru,Food,Credit Card,14,0
TXN10196,457.4,POS,Mumbai,Fuel,UPI,20,0
TXN10197,301.99,Online,Hyderabad,Grocery,UPI,20,0
TXN10198,5392.3,ATM,Lucknow,Electronics,UPI,15,0
TXN10199,7926.23,ATM,Lucknow,Fuel,UPI,21,0
TXN10200,4962.36,Online,Bengaluru,Electronics,Debit Card,21,0
TXN10201,9022.13,Online,Hyderabad,Entertainment,UPI,10,0
TXN10202,3236.56,POS,Bengaluru,Travel,Debit Card,23,0
TXN10203,2246.12,POS,Varanasi,Entertainment,Credit Card,23,0
TXN10204,1356.64,ATM,Mumbai,Clothing,Debit Card,6,0
TXN10205,12854.57,Online,Hyderabad,Food,Credit Card,0,0
TXN10206,721.84,POS,Kolkata,Clothing,Credit Card,6,0
TXN10207,1920.45,POS,Chennai,Grocery,Debit Card,12,0
TXN10208,10496.55,Online,Bengaluru,Food,Credit Card,19,0
TXN10209,318.64,POS,Mumbai,Grocery,Net Banking,14,0
TXN10210,3014.76,POS,Jaipur,Grocery,Debit Card,11,0
TXN10211,5617.61,Online,Delhi,Grocery,UPI,6,0
TXN10212,557.09,Online,Jaipur,Healthcare,Credit Card,12,0
TXN10213,3937.57,Online,Delhi,Food,Debit Card,3,0
TXN10214,2340.88,POS,Pune,Fuel,Debit Card,9,0
TXN10215,11128.29,Online,Kolkata,Food,Debit Card,20,0
TXN10216,4579.34,POS,Pune,Healthcare,UPI,19,0
TXN10217,5340.97,POS,Bengaluru,Travel,Debit Card,23,0
TXN10218,11014.86,Online,Bengaluru,Fuel,Debit Card,21,0
TXN10219,476.26,Online,Delhi,Healthcare,Debit Card,20,0
TXN10220,8404.07,Online,Hyderabad,Fuel,Credit Card,9,0
TXN10221,6995.98,Online,Mumbai,Electronics,UPI,17,0
TXN10222,8229.92,Online,Varanasi,Clothing,Credit Card,16,0
TXN10223,2036.08,POS,Lucknow,Clothing,Credit Card,21,0
TXN10224,1264.71,POS,Bengaluru,Grocery,Credit Card,19,0
TXN10225,1791.39,POS,Pune,Food,Debit Card,19,0
TXN10226,989.1,POS,Pune,Food,Credit Card,11,0
TXN10227,8526.96,ATM,Jaipur,Grocery,Credit Card,8,0
TXN10228,1411.83,POS,Kolkata,Electronics,Credit Card,12,0
TXN10229,7452.57,ATM,Delhi,Clothing,UPI,9,0
TXN10230,451.31,Online,Lucknow,Healthcare,UPI,18,0
TXN10231,3969.77,Online,Delhi,Travel,Debit Card,14,0
TXN10232,2507.18,Online,Bengaluru,Fuel,Debit Card,10,0
TXN10233,3574.85,Online,Chennai,Fuel,Credit Card,17,0
TXN10234,4589.1,Online,Lucknow,Fuel,UPI,6,0
TXN10235,1791.24,POS,Jaipur,Fuel,Debit Card,21,0
TXN10236,11394.18,Online,Pune,Entertainment,Net Banking,16,0
TXN10237,1497.52,POS,Jaipur,Electronics,Credit Card,14,0
TXN10238,1058.79,POS,Bengaluru,Fuel,Debit Card,10,0
TXN10239,14089.89,Online,Chennai,Food,UPI,15,0
TXN10240,1440.83,POS,Varanasi,Entertainment,Debit Card,10,0
TXN10241,6095.99,ATM,Lucknow,Grocery,Credit Card,12,0
TXN10242,2109.51,ATM,Delhi,Clothing,Credit Card,21,0
TXN10243,1405.13,ATM,Lucknow,Entertainment,Debit Card,9,0
TXN10244,5309.37,POS,Pune,Grocery,UPI,11,0
TXN10245,917.35,POS,Delhi,Food,UPI,17,0
TXN10246,4351.89,ATM,Varanasi,Fuel,Debit Card,18,0
TXN10247,3597.47,POS,Varanasi,Grocery,Credit Card,8,0
TXN10248,4569.86,ATM,Kolkata,Healthcare,Debit Card,22,0
TXN10249,1284.93,ATM,Delhi,Entertainment,UPI,2,0
TXN10250,2341.93,Online,Mumbai,Entertainment,Debit Card,6,0
TXN10251,2930.03,POS,Chennai,Fuel,Credit Card,19,0
TXN10252,1554.41,POS,Mumbai,Clothing,Debit Card,19,0
TXN10253,4735.88,Online,Varanasi,Grocery,Debit Card,17,0
TXN10254,737.13,POS,Delhi,Clothing,UPI,15,0
TXN10255,553.36,POS,Kolkata,Entertainment,UPI,11,0
TXN10256,6198.6,Online,Lucknow,Grocery,Credit Card,20,1
TXN10257,5790.81,ATM,Lucknow,Grocery,UPI,18,0
TXN10258,11432.5,Online,Lucknow,Clothing,Credit Card,22,0
TXN10259,7699.34,Online,Kolkata,Healthcare,Debit Card,13,0
TXN10260,1108.87,POS,Bengaluru,Grocery,Debit Card,14,0
TXN10261,4585.64,Online,Delhi,Healthcare,Credit Card,19,0
TXN10262,852.84,ATM,Mumbai,Electronics,UPI,23,0
TXN10263,3517.65,POS,Chennai,Travel,Net Banking,21,0
TXN10264,2334.73,Online,Varanasi,Electronics,Debit Card,11,0
TXN10265,7909.64,Online,Chennai,Travel,Credit Card,22,0
TXN10266,6419.74,Online,Varanasi,Electronics,Debit Card,9,0
TXN10267,8742.51,Online,Delhi,Travel,UPI,13,0
TXN10268,5462.54,Online,Delhi,Grocery,UPI,21,0
TXN10269,1388.94,POS,Jaipur,Clothing,Debit Card,11,0
TXN10270,2535.45,POS,Mumbai,Clothing,UPI,12,0
TXN10271,155.14,Online,Pune,Fuel,UPI,23,0
TXN10272,1655.04,Online,Varanasi,Food,Debit Card,13,0
TXN10273,6173.29,Online,Hyderabad,Fuel,Credit Card,22,0
TXN10274,3762.35,ATM,Pune,Travel,UPI,10,0
TXN10275,5896.63,Online,Lucknow,Food,Debit Card,14,0
TXN10276,2594.4,Online,Chennai,Healthcare,Credit Card,12,0
TXN10277,5567.61,Online,Delhi,Healthcare,Debit Card,15,0
TXN10278,2281.38,Online,Hyderabad,Food,Credit Card,21,0
TXN10279,1188.99,Online,Varanasi,Travel,UPI,23,0
TXN10280,12755.34,Online,Bengaluru,Clothing,Credit Card,14,0
TXN10281,1695.06,ATM,Varanasi,Travel,Debit Card,9,0
TXN10282,2118.23,POS,Chennai,Healthcare,Debit Card,5,1
TXN10283,4439.48,POS,Varanasi,Grocery,UPI,9,0
TXN10284,580.98,POS,Varanasi,Food,Debit Card,19,0
TXN10285,2556.59,Online,Kolkata,Food,Credit Card,16,0
TXN10286,2261.93,POS,Mumbai,Healthcare,Debit Card,19,0
TXN10287,3469.53,POS,Pune,Travel,UPI,22,0
TXN10288,5476.26,Online,Bengaluru,Food,UPI,18,1
TXN10289,2868.74,POS,Delhi,Clothing,UPI,19,0
TXN10290,991.93,Online,Varanasi,Food,Debit Card,13,0
TXN10291,3907.39,POS,Bengaluru,Travel,UPI,14,0
TXN10292,735.13,POS,Jaipur,Healthcare,Debit Card,20,0
TXN10293,7164.97,Online,Varanasi,Clothing,UPI,17,0
TXN10294,1686.29,POS,Kolkata,Clothing,Debit Card,15,1
TXN10295,1240.5,POS,Kolkata,Food,UPI,9,0
TXN10296,17210.1,Online,Hyderabad,Travel,Credit Card,16,0
TXN10297,7359.18,Online,Lucknow,Food,UPI,11,0
TXN10298,1615.58,POS,Chennai,Entertainment,UPI,16,0
TXN10299,2767.16,Online,Pune,Grocery,Credit Card,14,0
TXN10300,2389.07,POS,Jaipur,Fuel,Net Banking,7,0
TXN10301,4966.62,POS,Chennai,Healthcare,Debit Card,20,0
TXN10302,5202.54,Online,Chennai,Entertainment,Net Banking,16,0
TXN10303,4339.99,Online,Hyderabad,Fuel,UPI,21,0
TXN10304,3064.59,Online,Kolkata,Grocery,Net Banking,21,0
TXN10305,5690.73,Online,Mumbai,Clothing,Debit Card,15,0
TXN10306,4706.77,ATM,Bengaluru,Food,Debit Card,17,0
TXN10307,947.58,Online,Delhi,Grocery,UPI,21,0
TXN10308,1690.94,POS,Mumbai,Electronics,Net Banking,17,0
TXN10309,3394.0,Online,Mumbai,Grocery,Debit Card,10,0
TXN10310,849.62,POS,Lucknow,Food,Debit Card,10,0
TXN10311,970.02,POS,Lucknow,Fuel,Debit Card,13,0
TXN10312,760.57,POS,Mumbai,Food,UPI,3,0
TXN10313,1323.0,POS,Kolkata,Healthcare,UPI,12,0
TXN10314,2957.81,ATM,Chennai,Grocery,Debit Card,8,0
TXN10315,3063.08,Online,Bengaluru,Food,Debit Card,20,0
TXN10316,3781.26,Online,Chennai,Food,Credit Card,19,0
TXN10317,2116.93,POS,Chennai,Entertainment,Debit Card,9,0
TXN10318,2193.89,POS,Chennai,Healthcare,UPI,10,0
TXN10319,2824.17,POS,Bengaluru,Entertainment,Credit Card,16,0
TXN10320,144.84,POS,Bengaluru,Healthcare,UPI,10,0
TXN10321,1755.83,Online,Hyderabad,Healthcare,UPI,6,0
TXN10322,3492.27,Online,Pune,Fuel,Credit Card,19,0
TXN10323,3576.94,Online,Mumbai,Entertainment,Debit Card,7,0
TXN10324,1304.04,POS,Varanasi,Healthcare,UPI,17,0
TXN10325,1058.2,ATM,Hyderabad,Electronics,Debit Card,8,0
TXN10326,6313.42,Online,Hyderabad,Fuel,UPI,0,0
TXN10327,1529.99,Online,Delhi,Clothing,Debit Card,15,0
TXN10328,10392.1,Online,Varanasi,Food,UPI,10,0
TXN10329,3081.56,POS,Lucknow,Travel,Debit Card,8,0
TXN10330,2261.92,POS,Delhi,Healthcare,Debit Card,18,0
TXN10331,1472.12,POS,Lucknow,Clothing,Credit Card,17,0
TXN10332,18231.75,Online,Pune,Healthcare,Net Banking,13,0
TXN10333,2360.44,POS,Jaipur,Fuel,Net Banking,7,0
TXN10334,5750.52,POS,Lucknow,Fuel,Debit Card,14,0
TXN10335,3592.65,POS,Chennai,Clothing,Debit Card,7,0
TXN10336,1549.09,POS,Lucknow,Travel,Credit Card,23,0
TXN10337,5562.98,Online,Varanasi,Fuel,Debit Card,10,0
TXN10338,3364.03,Online,Bengaluru,Grocery,UPI,0,0
TXN10339,397.59,POS,Varanasi,Electronics,Credit Card,9,0
TXN10340,848.54,POS,Pune,Food,UPI,16,0
TXN10341,7767.15,Online,Hyderabad,Grocery,UPI,23,0
TXN10342,3201.64,POS,Chennai,Entertainment,Credit Card,15,0
TXN10343,2828.79,POS,Jaipur,Travel,UPI,13,0
TXN10344,1264.58,POS,Pune,Electronics,Debit Card,23,0
TXN10345,4033.45,POS,Hyderabad,Electronics,Debit Card,9,0
TXN10346,5100.49,Online,Kolkata,Electronics,UPI,9,0
TXN10347,8071.42,Online,Varanasi,Travel,Debit Card,12,0
TXN10348,1832.94,POS,Pune,Healthcare,Debit Card,19,0
TXN10349,2169.49,POS,Varanasi,Healthcare,Net Banking,11,0
TXN10350,2400.48,Online,Jaipur,Fuel,UPI,14,0
TXN10351,10029.03,Online,Hyderabad,Entertainment,Credit Card,22,0
TXN10352,4793.37,Online,Varanasi,Healthcare,UPI,20,0
TXN10353,6386.3,Online,Bengaluru,Fuel,Debit Card,22,0
TXN10354,4462.44,POS,Lucknow,Grocery,Net Banking,9,0
TXN10355,2427.96,POS,Delhi,Fuel,Debit Card,14,0
TXN10356,4260.01,Online,Jaipur,Food,UPI,18,0
TXN10357,1730.84,POS,Delhi,Fuel,UPI,18,0
TXN10358,12842.18,Online,Mumbai,Electronics,Credit Card,15,0
TXN10359,2458.96,ATM,Lucknow,Entertainment,UPI,20,0
TXN10360,5885.57,Online,Jaipur,Entertainment,Net Banking,4,0
TXN10361,2335.69,POS,Pune,Electronics,UPI,9,0
TXN10362,10812.32,Online,Bengaluru,Grocery,Debit Card,11,0
TXN10363,4442.24,POS,Pune,Fuel,Credit Card,18,0
TXN10364,3049.2,Online,Kolkata,Healthcare,Net Banking,21,0
TXN10365,2369.21,ATM,Mumbai,Fuel,Credit Card,15,0
TXN10366,2506.93,POS,Bengaluru,Electronics,UPI,18,0
TXN10367,6399.3,ATM,Varanasi,Electronics,Credit Card,16,0
TXN10368,9272.07,ATM,Varanasi,Travel,Debit Card,21,0
TXN10369,695.48,POS,Chennai,Clothing,Debit Card,21,0
TXN10370,1267.04,POS,Varanasi,Entertainment,Net Banking,19,0
TXN10371,2186.5,POS,Hyderabad,Grocery,UPI,10,0
TXN10372,1107.78,POS,Mumbai,Fuel,Debit Card,12,0
TXN10373,2080.64,POS,Hyderabad,Grocery,UPI,13,0
TXN10374,5328.95,Online,Lucknow,Healthcare,Credit Card,0,0
TXN10375,932.96,POS,Chennai,Grocery,UPI,10,0
TXN10376,1644.1,POS,Chennai,Healthcare,Debit Card,18,0
TXN10377,2736.17,Online,Varanasi,Fuel,Net Banking,15,0
TXN10378,610.71,POS,Bengaluru,Travel,Credit Card,22,0
TXN10379,3938.11,Online,Lucknow,Fuel,UPI,2,0
TXN10380,637.96,POS,Kolkata,Travel,Debit Card,12,0
TXN10381,1169.4,POS,Mumbai,Food,Debit Card,18,0
TXN10382,5449.5,Online,Mumbai,Healthcare,Debit Card,8,1
TXN10383,7080.69,Online,Jaipur,Entertainment,Net Banking,14,0
TXN10384,3889.35,Online,Pune,Travel,Debit Card,1,1
TXN10385,1826.65,Online,Varanasi,Fuel,UPI,9,0
TXN10386,4933.94,Online,Jaipur,Healthcare,Debit Card,22,0
TXN10387,475.51,POS,Kolkata,Entertainment,Debit Card,16,0
TXN10388,4756.28,POS,Chennai,Fuel,Debit Card,19,0
TXN10389,3307.43,Online,Delhi,Entertainment,UPI,7,0
TXN10390,3264.92,Online,Kolkata,Fuel,UPI,10,0
TXN10391,3308.0,ATM,Kolkata,Grocery,Net Banking,9,0
TXN10392,5147.43,POS,Bengaluru,Food,Net Banking,10,0
TXN10393,1529.54,POS,Bengaluru,Clothing,Debit Card,10,0
TXN10394,6513.94,Online,Bengaluru,Electronics,UPI,15,0
TXN10395,1489.13,POS,Bengaluru,Electronics,Credit Card,18,0
TXN10396,3304.21,ATM,Pune,Food,UPI,15,0
TXN10397,2860.12,Online,Varanasi,Healthcare,Debit Card,11,0
TXN10398,669.98,POS,Mumbai,Healthcare,UPI,18,0
TXN10399,2019.25,Online,Varanasi,Healthcare,Debit Card,15,0
TXN10400,9717.17,Online,Varanasi,Clothing,Debit Card,17,0
TXN10401,2602.92,POS,Mumbai,Entertainment,Debit Card,9,0
TXN10402,2222.43,ATM,Bengaluru,Electronics,Debit Card,22,0
TXN10403,4423.98,Online,Varanasi,Food,Credit Card,11,0
TXN10404,6449.41,Online,Pune,Healthcare,UPI,12,0
TXN10405,3362.83,POS,Bengaluru,Travel,UPI,15,0
TXN10406,2955.86,ATM,Pune,Grocery,Debit Card,5,0
TXN10407,2735.64,POS,Jaipur,Clothing,Debit Card,9,0
TXN10408,2268.18,POS,Varanasi,Fuel,Credit Card,19,0
